model,dataset,category,n_samples,baseline_acc,baseline_lo,baseline_hi,blank_acc,blank_lo,blank_hi,P1_flip,P1_flip_lo,P1_flip_hi,P2_halluc,P2_halluc_lo,P2_halluc_hi,P3_flip_jaccard,P3_flip_lo,P3_flip_hi,P4_cross_jaccard
biomed_clip,vqa_rad,closed_yn,150,0.11267605633802817,0.05821202176555296,0.20690256691240155,0.30633802816901406,0.2556058211937648,0.36223954931557095,0.8591549295774648,0.8138896822019139,0.8948334488534999,0.904,0.8808108325692139,0.9230715745571638,0.0,0.0,0.0,0.0
biomed_clip,vqa_rad,abnormality,128,0.5614035087719298,0.43277781142939187,0.6822750471410599,0.2149122807017544,0.1665506017556696,0.27272172900809327,0.8157894736842105,0.7603825635881625,0.860731162335054,0.0,0.0,0.0,0.35789473684210527,0.3044674868573547,0.41510199343911225,0.2943181818181818
biomed_clip,vqa_rad,organ,4,0.5,0.15003570882017148,0.8499642911798285,0.375,0.18480982554752806,0.613593529020652,0.75,0.5050123107060135,0.8981809801576265,0.0,0.0,0.0,0.3,0.14547527396899385,0.5189767762289793,0.045454545454545456
biomed_clip,vqa_rad,plane,10,0.3,0.10778928748621183,0.6032267800204347,0.125,0.05459419773541284,0.26112420670238146,0.825,0.6804970794560755,0.9125469700311694,0.0,0.0,0.0,0.68,0.5418944286372394,0.792419559060006,0.3418181818181818
biomed_clip,vqa_rad,modality,8,0.625,0.30573785458380187,0.863158240538479,0.3125,0.17952352116618736,0.4856699969803239,0.65625,0.4831077350878594,0.7958976664567146,0.0,0.0,0.0,0.15,0.07061091708507435,0.2907262603902003,0.12272727272727271
biomed_clip,vqa_med_2019,abnormality,36,0.6111111111111112,0.4486417029674347,0.7521534458217705,0.2916666666666667,0.22361145223908757,0.3705487841219908,0.7986111111111112,0.7257416096123688,0.855962051603419,0.9222222222222223,0.8736917128220238,0.9531070095563716,0.23333333333333334,0.17751219946009705,0.30029913377460066,0.18888888888888888
biomed_clip,vqa_med_2019,plane,42,0.42857142857142855,0.2911742951914822,0.5779402208812553,0.10714285714285714,0.06885382433747694,0.16299690330937924,0.875,0.816462840386337,0.9167705559507549,0.9238095238095239,0.8798308039873729,0.9525610224860542,0.5285714285714286,0.4611494586780967,0.5949668442302243,0.18441558441558442
biomed_clip,vqa_med_2019,organ,36,0.6111111111111112,0.4486417029674347,0.7521534458217705,0.11805555555555555,0.07502767620322827,0.1809327571254154,0.8402777777777778,0.7717231945072308,0.8911484194363412,0.95,0.9077182120920645,0.9734751630743831,0.3333333333333333,0.26858305601207527,0.40504902725961084,0.1893939393939394
biomed_clip,vqa_med_2019,modality,36,0.4444444444444444,0.2954102987654314,0.6041921268399659,0.125,0.08055000891669836,0.1889384165332427,0.8611111111111112,0.7951966640512391,0.9082589262562251,0.8222222222222222,0.7598131328927978,0.871164839448609,0.3055555555555556,0.24290655074000767,0.3763308797436262,0.19090909090909092
biomed_clip,vqa_med_2021,abnormality,150,0.8266666666666667,0.7581386789428641,0.8788801768152663,0.31833333333333336,0.2823157389818871,0.3566624301273629,0.6883333333333334,0.6501721513736761,0.724098187072698,0.9773333333333334,0.9640008790702828,0.9858007768744146,0.164,0.13922419241075085,0.19220034027622213,0.10315151515151515
llava_med,vqa_rad,closed_yn,106,0.12962962962962962,0.06423639229487982,0.2442198053206771,0.19907407407407407,0.15128700113862084,0.2573781468588464,0.6851851851851852,0.6204690064546781,0.7434293640084191,1.0,0.9928038579233992,1.0,0.0,0.0,0.0,0.0
